Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season
B1,2016-07-29,Mechelen,Club Brugge,0.0,2.0,A,2017
B1,2016-07-30,Charleroi,Waasland-Beveren,1.0,0.0,H,2017
B1,2016-07-30,Mouscron,Anderlecht,1.0,2.0,A,2017
B1,2016-07-30,St Truiden,Lokeren,1.0,0.0,H,2017
B1,2016-07-30,Waregem,Eupen,3.0,0.0,H,2017
B1,2016-07-31,Genk,Oostende,2.0,1.0,H,2017
B1,2016-07-31,Kortrijk,Gent,1.0,1.0,D,2017
B1,2016-07-31,Westerlo,Standard,2.0,2.0,D,2017
B1,2016-05-08,Oostende,Club Brugge,1.0,0.0,H,2017
B1,2016-06-08,Eupen,Mechelen,0.0,2.0,A,2017
B1,2016-06-08,Mouscron,Charleroi,0.0,1.0,A,2017
B1,2016-06-08,Standard,St Truiden,2.0,0.0,H,2017
B1,2016-06-08,Waasland-Beveren,Waregem,0.0,2.0,A,2017
B1,2016-07-08,Anderlecht,Kortrijk,5.0,1.0,H,2017
B1,2016-07-08,Gent,Genk,1.0,0.0,H,2017
B1,2016-07-08,Lokeren,Westerlo,3.0,0.0,H,2017
B1,2016-12-08,St Truiden,Anderlecht,0.0,0.0,D,2017
B1,2016-08-13,Charleroi,Gent,1.0,1.0,D,2017
B1,2016-08-13,Genk,Waasland-Beveren,2.0,2.0,D,2017
B1,2016-08-13,Mechelen,Kortrijk,0.0,0.0,D,2017
B1,2016-08-13,Westerlo,Eupen,1.0,2.0,A,2017
B1,2016-08-14,Club Brugge,Lokeren,1.0,0.0,H,2017
B1,2016-08-14,Oostende,Mouscron,2.0,1.0,H,2017
B1,2016-08-14,Waregem,Standard,1.0,0.0,H,2017
B1,2016-08-19,Standard,Charleroi,0.0,0.0,D,2017
B1,2016-08-20,Kortrijk,Club Brugge,2.0,1.0,H,2017
B1,2016-08-20,Mouscron,St Truiden,2.0,1.0,H,2017
B1,2016-08-20,Waasland-Beveren,Mechelen,2.0,2.0,D,2017
B1,2016-08-20,Waregem,Oostende,1.0,1.0,D,2017
B1,2016-08-21,Eupen,Anderlecht,2.0,2.0,D,2017
B1,2016-08-21,Gent,Westerlo,4.0,2.0,H,2017
B1,2016-08-21,Lokeren,Genk,0.0,3.0,A,2017
B1,2016-08-26,Charleroi,Eupen,3.0,2.0,H,2017
B1,2016-08-27,Lokeren,Mouscron,2.0,1.0,H,2017
B1,2016-08-27,Oostende,Waasland-Beveren,2.0,1.0,H,2017
B1,2016-08-27,St Truiden,Kortrijk,1.0,2.0,A,2017
B1,2016-08-27,Westerlo,Mechelen,1.0,2.0,A,2017
B1,2016-08-28,Anderlecht,Gent,2.0,2.0,D,2017
B1,2016-08-28,Club Brugge,Standard,2.0,2.0,D,2017
B1,2016-08-28,Genk,Waregem,1.0,0.0,H,2017
B1,2016-09-09,Waasland-Beveren,Club Brugge,1.0,0.0,H,2017
B1,2016-10-09,Eupen,Oostende,2.0,1.0,H,2017
B1,2016-10-09,Kortrijk,Westerlo,4.0,1.0,H,2017
B1,2016-10-09,Mechelen,St Truiden,2.0,0.0,H,2017
B1,2016-10-09,Mouscron,Waregem,1.0,5.0,A,2017
B1,2016-11-09,Anderlecht,Charleroi,3.0,2.0,H,2017
B1,2016-11-09,Gent,Lokeren,3.0,0.0,H,2017
B1,2016-11-09,Standard,Genk,2.0,0.0,H,2017
B1,2016-09-16,Charleroi,Mechelen,0.0,0.0,D,2017
B1,2016-09-17,Club Brugge,Eupen,3.0,2.0,H,2017
B1,2016-09-17,St Truiden,Waasland-Beveren,4.0,1.0,H,2017
B1,2016-09-17,Waregem,Kortrijk,2.0,1.0,H,2017
B1,2016-09-17,Westerlo,Mouscron,1.0,3.0,A,2017
B1,2016-09-18,Genk,Anderlecht,0.0,2.0,A,2017
B1,2016-09-18,Lokeren,Standard,0.0,1.0,A,2017
B1,2016-09-18,Oostende,Gent,1.0,0.0,H,2017
B1,2016-09-23,Mouscron,Club Brugge,0.0,3.0,A,2017
B1,2016-09-24,Charleroi,Oostende,2.0,1.0,H,2017
B1,2016-09-24,Gent,St Truiden,2.0,1.0,H,2017
B1,2016-09-24,Mechelen,Waregem,2.0,3.0,A,2017
B1,2016-09-24,Waasland-Beveren,Lokeren,1.0,1.0,D,2017
B1,2016-09-25,Anderlecht,Westerlo,1.0,2.0,A,2017
B1,2016-09-25,Kortrijk,Genk,4.0,1.0,H,2017
B1,2016-09-25,Standard,Eupen,3.0,0.0,H,2017
B1,2016-09-30,Oostende,St Truiden,2.0,2.0,D,2017
B1,2016-01-10,Eupen,Mouscron,1.0,4.0,A,2017
B1,2016-01-10,Lokeren,Kortrijk,2.0,1.0,H,2017
B1,2016-01-10,Waregem,Charleroi,1.0,1.0,D,2017
B1,2016-01-10,Westerlo,Waasland-Beveren,1.0,0.0,H,2017
B1,2016-02-10,Club Brugge,Gent,1.0,0.0,H,2017
B1,2016-02-10,Genk,Mechelen,2.0,1.0,H,2017
B1,2016-02-10,Standard,Anderlecht,0.0,1.0,A,2017
B1,2016-10-14,Charleroi,Club Brugge,1.0,0.0,H,2017
B1,2016-10-15,Kortrijk,Standard,3.0,3.0,D,2017
B1,2016-10-15,Mouscron,Genk,2.0,2.0,D,2017
B1,2016-10-15,St Truiden,Westerlo,2.0,2.0,D,2017
B1,2016-10-15,Waasland-Beveren,Eupen,4.0,2.0,H,2017
B1,2016-10-16,Anderlecht,Lokeren,1.0,0.0,H,2017
B1,2016-10-16,Gent,Waregem,3.0,0.0,H,2017
B1,2016-10-16,Mechelen,Oostende,2.0,3.0,A,2017
B1,2016-10-21,Oostende,Kortrijk,2.0,2.0,D,2017
B1,2016-10-22,Mechelen,Mouscron,2.0,0.0,H,2017
B1,2016-10-22,Waregem,Lokeren,2.0,0.0,H,2017
B1,2016-10-22,Westerlo,Charleroi,0.0,0.0,D,2017
B1,2016-10-23,Club Brugge,Anderlecht,2.0,1.0,H,2017
B1,2016-10-23,Eupen,Gent,3.0,2.0,H,2017
B1,2016-10-23,Genk,St Truiden,1.0,0.0,H,2017
B1,2016-10-23,Standard,Waasland-Beveren,5.0,0.0,H,2017
B1,2016-10-25,Lokeren,Oostende,1.0,2.0,A,2017
B1,2016-10-26,Anderlecht,Mechelen,2.0,0.0,H,2017
B1,2016-10-26,Charleroi,Genk,2.0,1.0,H,2017
B1,2016-10-26,Club Brugge,Westerlo,4.0,0.0,H,2017
B1,2016-10-26,Kortrijk,Eupen,1.0,1.0,D,2017
B1,2016-10-26,St Truiden,Waregem,0.0,2.0,A,2017
B1,2016-10-27,Gent,Standard,1.0,0.0,H,2017
B1,2016-10-27,Waasland-Beveren,Mouscron,0.0,0.0,D,2017
B1,2016-10-29,Eupen,Lokeren,2.0,2.0,D,2017
B1,2016-10-29,Genk,Westerlo,2.0,1.0,H,2017
B1,2016-10-29,St Truiden,Charleroi,2.0,2.0,D,2017
B1,2016-10-29,Waregem,Club Brugge,0.0,0.0,D,2017
B1,2016-10-30,Mechelen,Gent,2.0,0.0,H,2017
B1,2016-10-30,Mouscron,Kortrijk,0.0,1.0,A,2017
B1,2016-10-30,Oostende,Standard,3.0,1.0,H,2017
B1,2016-10-30,Waasland-Beveren,Anderlecht,2.0,1.0,H,2017
B1,2016-04-11,Kortrijk,Charleroi,2.0,1.0,H,2017
B1,2016-05-11,Eupen,St Truiden,4.0,2.0,H,2017
B1,2016-05-11,Lokeren,Mechelen,0.0,0.0,D,2017
B1,2016-05-11,Westerlo,Waregem,1.0,2.0,A,2017
B1,2016-06-11,Anderlecht,Oostende,1.0,1.0,D,2017
B1,2016-06-11,Club Brugge,Genk,1.0,1.0,D,2017
B1,2016-06-11,Gent,Waasland-Beveren,2.0,0.0,H,2017
B1,2016-06-11,Standard,Mouscron,2.0,1.0,H,2017
B1,2016-11-18,St Truiden,Club Brugge,0.0,1.0,A,2017
B1,2016-11-19,Genk,Eupen,2.0,0.0,H,2017
B1,2016-11-19,Mouscron,Gent,0.0,2.0,A,2017
B1,2016-11-19,Oostende,Westerlo,5.0,0.0,H,2017
B1,2016-11-19,Waasland-Beveren,Kortrijk,1.0,1.0,D,2017
B1,2016-11-20,Charleroi,Lokeren,2.0,1.0,H,2017
B1,2016-11-20,Mechelen,Standard,2.0,1.0,H,2017
B1,2016-11-20,Waregem,Anderlecht,3.0,2.0,H,2017
B1,2016-11-25,Club Brugge,Mechelen,6.0,1.0,H,2017
B1,2016-11-26,Eupen,Westerlo,3.0,3.0,D,2017
B1,2016-11-26,Lokeren,St Truiden,1.0,0.0,H,2017
B1,2016-11-26,Waasland-Beveren,Charleroi,0.0,1.0,A,2017
B1,2016-11-27,Anderlecht,Mouscron,7.0,0.0,H,2017
B1,2016-11-27,Gent,Kortrijk,3.0,0.0,H,2017
B1,2016-11-27,Oostende,Genk,6.0,0.0,H,2017
B1,2016-11-27,Standard,Waregem,4.0,1.0,H,2017
B1,2016-02-12,Mechelen,Eupen,1.0,0.0,H,2017
B1,2016-03-12,Club Brugge,Oostende,2.0,0.0,H,2017
B1,2016-03-12,St Truiden,Mouscron,1.0,0.0,H,2017
B1,2016-03-12,Waregem,Waasland-Beveren,1.0,1.0,D,2017
B1,2016-03-12,Westerlo,Gent,0.0,0.0,D,2017
B1,2016-04-12,Charleroi,Standard,1.0,3.0,A,2017
B1,2016-04-12,Genk,Lokeren,1.0,2.0,A,2017
B1,2016-04-12,Kortrijk,Anderlecht,1.0,3.0,A,2017
B1,2016-09-12,Lokeren,Waregem,1.0,1.0,D,2017
B1,2016-10-12,Eupen,Charleroi,2.0,2.0,D,2017
B1,2016-10-12,Kortrijk,St Truiden,0.0,1.0,A,2017
B1,2016-10-12,Mouscron,Mechelen,1.0,4.0,A,2017
B1,2016-11-12,Anderlecht,Club Brugge,0.0,0.0,D,2017
B1,2016-11-12,Gent,Oostende,1.0,1.0,D,2017
B1,2016-11-12,Standard,Westerlo,3.0,1.0,H,2017
B1,2016-12-17,Charleroi,Mouscron,2.0,0.0,H,2017
B1,2016-12-17,Mechelen,Waasland-Beveren,2.0,0.0,H,2017
B1,2016-12-17,Oostende,Waregem,1.0,1.0,D,2017
B1,2016-12-17,St Truiden,Gent,3.0,1.0,H,2017
B1,2016-12-17,Westerlo,Lokeren,1.0,3.0,A,2017
B1,2016-12-18,Anderlecht,Eupen,4.0,0.0,H,2017
B1,2016-12-18,Club Brugge,Kortrijk,5.0,1.0,H,2017
B1,2016-12-18,Genk,Standard,2.0,2.0,D,2017
B1,2016-12-20,Mechelen,Charleroi,1.0,0.0,H,2017
B1,2016-12-20,Mouscron,Westerlo,0.0,0.0,D,2017
B1,2016-12-20,Waasland-Beveren,St Truiden,3.0,1.0,H,2017
B1,2016-12-21,Eupen,Club Brugge,1.0,4.0,A,2017
B1,2016-12-21,Kortrijk,Oostende,0.0,2.0,A,2017
B1,2016-12-21,Standard,Lokeren,1.0,1.0,D,2017
B1,2016-12-21,Waregem,Genk,1.0,0.0,H,2017
B1,2016-12-22,Gent,Anderlecht,2.0,3.0,A,2017
B1,2016-12-26,Charleroi,Anderlecht,0.0,2.0,A,2017
B1,2016-12-26,Club Brugge,Mouscron,2.0,1.0,H,2017
B1,2016-12-26,Lokeren,Waasland-Beveren,0.0,0.0,D,2017
B1,2016-12-26,Oostende,Eupen,1.0,3.0,A,2017
B1,2016-12-26,Waregem,Mechelen,0.0,0.0,D,2017
B1,2016-12-26,Westerlo,Kortrijk,4.0,1.0,H,2017
B1,2016-12-27,Genk,Gent,2.0,0.0,H,2017
B1,2016-12-27,St Truiden,Standard,2.0,2.0,D,2017
B1,2017-01-20,Gent,Charleroi,1.0,0.0,H,2017
B1,2017-01-21,Eupen,Genk,0.0,1.0,A,2017
B1,2017-01-21,Kortrijk,Waregem,2.0,3.0,A,2017
B1,2017-01-21,Mouscron,Lokeren,2.0,1.0,H,2017
B1,2017-01-21,Waasland-Beveren,Oostende,0.0,1.0,A,2017
B1,2017-01-22,Anderlecht,St Truiden,3.0,1.0,H,2017
B1,2017-01-22,Mechelen,Westerlo,1.0,2.0,A,2017
B1,2017-01-22,Standard,Club Brugge,0.0,3.0,A,2017
B1,2017-01-24,Genk,Kortrijk,3.0,0.0,H,2017
B1,2017-01-24,Oostende,Charleroi,1.0,2.0,A,2017
B1,2017-01-24,Waregem,Mouscron,1.0,0.0,H,2017
B1,2017-01-25,Club Brugge,Waasland-Beveren,2.0,1.0,H,2017
B1,2017-01-25,Lokeren,Gent,0.0,0.0,D,2017
B1,2017-01-25,St Truiden,Mechelen,2.0,1.0,H,2017
B1,2017-01-25,Westerlo,Anderlecht,2.0,4.0,A,2017
B1,2017-01-26,Eupen,Standard,2.0,2.0,D,2017
B1,2017-01-27,Charleroi,Waregem,2.0,1.0,H,2017
B1,2017-01-28,Kortrijk,Lokeren,2.0,1.0,H,2017
B1,2017-01-28,Mechelen,Genk,1.0,0.0,H,2017
B1,2017-01-28,St Truiden,Oostende,3.0,0.0,H,2017
B1,2017-01-28,Waasland-Beveren,Westerlo,0.0,0.0,D,2017
B1,2017-01-29,Anderlecht,Standard,0.0,0.0,D,2017
B1,2017-01-29,Gent,Club Brugge,2.0,0.0,H,2017
B1,2017-01-29,Mouscron,Eupen,3.0,0.0,H,2017
B1,2017-03-02,Lokeren,Anderlecht,0.0,0.0,D,2017
B1,2017-04-02,Eupen,Waasland-Beveren,0.0,2.0,A,2017
B1,2017-04-02,Genk,Mouscron,1.0,0.0,H,2017
B1,2017-04-02,Oostende,Mechelen,2.0,0.0,H,2017
B1,2017-04-02,Standard,Kortrijk,0.0,3.0,A,2017
B1,2017-05-02,Club Brugge,Charleroi,1.0,0.0,H,2017
B1,2017-05-02,Waregem,Gent,1.0,1.0,D,2017
B1,2017-05-02,Westerlo,St Truiden,1.0,0.0,H,2017
B1,2017-07-02,Waasland-Beveren,Genk,0.0,0.0,D,2017
B1,2017-10-02,St Truiden,Genk,0.0,3.0,A,2017
B1,2017-11-02,Charleroi,Westerlo,2.0,1.0,H,2017
B1,2017-11-02,Gent,Eupen,0.0,1.0,A,2017
B1,2017-11-02,Kortrijk,Mechelen,0.0,2.0,A,2017
B1,2017-11-02,Mouscron,Oostende,1.0,2.0,A,2017
B1,2017-12-02,Anderlecht,Waregem,4.0,2.0,H,2017
B1,2017-12-02,Lokeren,Club Brugge,1.0,0.0,H,2017
B1,2017-12-02,Waasland-Beveren,Standard,0.0,1.0,A,2017
B1,2017-02-17,Westerlo,Club Brugge,1.0,2.0,A,2017
B1,2017-02-18,Eupen,Kortrijk,1.0,0.0,H,2017
B1,2017-02-18,Mechelen,Lokeren,3.0,0.0,H,2017
B1,2017-02-18,Mouscron,Waasland-Beveren,1.0,2.0,A,2017
B1,2017-02-18,Waregem,St Truiden,4.0,1.0,H,2017
B1,2017-02-19,Genk,Charleroi,1.0,1.0,D,2017
B1,2017-02-19,Oostende,Anderlecht,1.0,4.0,A,2017
B1,2017-02-19,Standard,Gent,1.0,1.0,D,2017
B1,2017-02-24,Club Brugge,Waregem,5.0,0.0,H,2017
B1,2017-02-25,Charleroi,St Truiden,1.0,0.0,H,2017
B1,2017-02-25,Kortrijk,Waasland-Beveren,1.0,2.0,A,2017
B1,2017-02-25,Lokeren,Eupen,1.0,2.0,A,2017
B1,2017-02-25,Westerlo,Oostende,0.0,4.0,A,2017
B1,2017-02-26,Anderlecht,Genk,2.0,0.0,H,2017
B1,2017-02-26,Gent,Mouscron,3.0,1.0,H,2017
B1,2017-02-26,Standard,Mechelen,2.0,2.0,D,2017
B1,2017-04-03,Charleroi,Kortrijk,1.0,1.0,D,2017
B1,2017-04-03,Genk,Club Brugge,2.0,1.0,H,2017
B1,2017-04-03,Mechelen,Anderlecht,3.0,2.0,H,2017
B1,2017-04-03,Mouscron,Standard,1.0,0.0,H,2017
B1,2017-04-03,Oostende,Lokeren,0.0,0.0,D,2017
B1,2017-04-03,St Truiden,Eupen,2.0,1.0,H,2017
B1,2017-04-03,Waasland-Beveren,Gent,2.0,3.0,A,2017
B1,2017-04-03,Waregem,Westerlo,2.0,2.0,D,2017
B1,2017-12-03,Anderlecht,Waasland-Beveren,3.0,0.0,H,2017
B1,2017-12-03,Club Brugge,St Truiden,2.0,2.0,D,2017
B1,2017-12-03,Eupen,Waregem,1.0,3.0,A,2017
B1,2017-12-03,Gent,Mechelen,3.0,0.0,H,2017
B1,2017-12-03,Kortrijk,Mouscron,0.0,2.0,A,2017
B1,2017-12-03,Lokeren,Charleroi,0.0,0.0,D,2017
B1,2017-12-03,Standard,Oostende,2.0,2.0,D,2017
B1,2017-12-03,Westerlo,Genk,0.0,4.0,A,2017
D1,2016-08-26,Bayern Munich,Werder Bremen,6.0,0.0,H,2017
D1,2016-08-27,Augsburg,Wolfsburg,0.0,2.0,A,2017
D1,2016-08-27,Dortmund,Mainz,2.0,1.0,H,2017
D1,2016-08-27,Ein Frankfurt,Schalke 04,1.0,0.0,H,2017
